Country,Year of Date,Month of Date,Unit,Value
Serbia,2019,May,Million Cubic Meter,299.999714
Romania,2019,May,Million Cubic Meter,518.923966
Poland,2019,May,Million Cubic Meter,1488.336675
Netherlands,2019,May,Million Cubic Meter,3068
Luxembourg,2019,May,Million Cubic Meter,62.287416
Italy,2019,May,Million Cubic Meter,4716.895404
Hungary,2019,May,Million Cubic Meter,1244.835571
Greece,2019,May,Million Cubic Meter,336.65797
Germany,2019,May,Million Cubic Meter,6539.523809
France,2019,May,Million Cubic Meter,2741
Finland,2019,May,Million Cubic Meter,310
Denmark,2019,May,Million Cubic Meter,638.878498
Czech Republic,2019,May,Million Cubic Meter,1187.142857
Croatia,2019,May,Million Cubic Meter,381.539585
Bulgaria,2019,May,Million Cubic Meter,430.779327
Belgium,2019,May,Million Cubic Meter,1176.677918
Austria,2019,May,Million Cubic Meter,1205.92
United Kingdom,2019,June,Million Cubic Meter,2000.88269
Sweden,2019,June,Million Cubic Meter,124
Spain,2019,June,Million Cubic Meter,3125
Slovenia,2019,June,Million Cubic Meter,103.034
Slovakia,2019,June,Million Cubic Meter,421.133333
Serbia,2019,June,Million Cubic Meter,265.999714
Romania,2019,June,Million Cubic Meter,322.040342
Poland,2019,June,Million Cubic Meter,1163.444118
Netherlands,2019,June,Million Cubic Meter,2352
Luxembourg,2019,June,Million Cubic Meter,44.993824
Italy,2019,June,Million Cubic Meter,4158.354015
Hungary,2019,June,Million Cubic Meter,793.561566
Greece,2019,June,Million Cubic Meter,412.513683
Germany,2019,June,Million Cubic Meter,4291.428571
France,2019,June,Million Cubic Meter,1873
Finland,2019,June,Million Cubic Meter,310
Denmark,2019,June,Million Cubic Meter,477.908571
Czech Republic,2019,June,Million Cubic Meter,880.571429
Croatia,2019,June,Million Cubic Meter,271.405909
Bulgaria,2019,June,Million Cubic Meter,362.756107
Belgium,2019,June,Million Cubic Meter,938.151459
Austria,2019,June,Million Cubic Meter,870.19181
United Kingdom,2019,July,Million Cubic Meter,2573.687513
Sweden,2019,July,Million Cubic Meter,124
Spain,2019,July,Million Cubic Meter,3336
Slovenia,2019,July,Million Cubic Meter,101.432
Slovakia,2019,July,Million Cubic Meter,501.28
Serbia,2019,July,Million Cubic Meter,287.999524
Romania,2019,July,Million Cubic Meter,515.447725
Poland,2019,July,Million Cubic Meter,1251.15164
Netherlands,2019,July,Million Cubic Meter,2959.38654
Luxembourg,2019,July,Million Cubic Meter,43.287375
Italy,2019,July,Million Cubic Meter,4786.237259
Hungary,2019,July,Million Cubic Meter,885.872958
Greece,2019,July,Million Cubic Meter,511.562937
Germany,2019,July,Million Cubic Meter,4593.904762
France,2019,July,Million Cubic Meter,1944
Finland,2019,July,Million Cubic Meter,306
Denmark,2019,July,Million Cubic Meter,471.4
Czech Republic,2019,July,Million Cubic Meter,916.4
Croatia,2019,July,Million Cubic Meter,312.811506
Bulgaria,2019,July,Million Cubic Meter,383.102409
Belgium,2019,July,Million Cubic Meter,909.202881
Austria,2019,July,Million Cubic Meter,1003.946667
United Kingdom,2019,August,Million Cubic Meter,2991.050468
Sweden,2019,August,Million Cubic Meter,150
Spain,2019,August,Million Cubic Meter,3124
Slovenia,2019,August,Million Cubic Meter,115.664
Slovakia,2019,August,Million Cubic Meter,492.584762
Serbia,2019,August,Million Cubic Meter,267.999619
Romania,2019,August,Million Cubic Meter,551.534797
Poland,2019,August,Million Cubic Meter,1309.632659
Netherlands,2019,August,Million Cubic Meter,2554
Luxembourg,2019,August,Million Cubic Meter,36.96617
Italy,2019,August,Million Cubic Meter,4048.703588
Hungary,2019,August,Million Cubic Meter,948.527678
Greece,2019,August,Million Cubic Meter,467.507881
Germany,2019,August,Million Cubic Meter,4410.857143
France,2019,August,Million Cubic Meter,1657
Finland,2019,August,Million Cubic Meter,299.999619
Denmark,2019,August,Million Cubic Meter,520.68
Czech Republic,2019,August,Million Cubic Meter,902.533333
Croatia,2019,August,Million Cubic Meter,339.464992
Bulgaria,2019,August,Million Cubic Meter,321.534905
Belgium,2019,August,Million Cubic Meter,882.009445
Austria,2019,August,Million Cubic Meter,1131.665905
United Kingdom,2019,September,Million Cubic Meter,590.199899
Sweden,2019,September,Million Cubic Meter,132
Spain,2019,September,Million Cubic Meter,3185
Slovenia,2019,September,Million Cubic Meter,118.274
Slovakia,2019,September,Million Cubic Meter,559.710476
Serbia,2019,September,Million Cubic Meter,300.000095
Romania,2019,September,Million Cubic Meter,541.244802
Poland,2019,September,Million Cubic Meter,1281.08342
Netherlands,2019,September,Million Cubic Meter,2824
Luxembourg,2019,September,Million Cubic Meter,47.836494
Italy,2019,September,Million Cubic Meter,4558.182904
Hungary,2019,September,Million Cubic Meter,1136.894535
Greece,2019,September,Million Cubic Meter,451.202977
Germany,2019,September,Million Cubic Meter,5322.857143
France,2019,September,Million Cubic Meter,2047
Finland,2019,September,Million Cubic Meter,339.999571
Denmark,2019,September,Million Cubic Meter,556.445714
Czech Republic,2019,September,Million Cubic Meter,1093.409524
Croatia,2019,September,Million Cubic Meter,344.7496
Bulgaria,2019,September,Million Cubic Meter,334.247257
Belgium,2019,September,Million Cubic Meter,1057.816193
Austria,2019,September,Million Cubic Meter,1468.156952
United Kingdom,2019,October,Million Cubic Meter,9228.231744
Sweden,2019,October,Million Cubic Meter,132
Spain,2019,October,Million Cubic Meter,3664
Slovenia,2019,October,Million Cubic Meter,151.378
Slovakia,2019,October,Million Cubic Meter,768
Serbia,2019,October,Million Cubic Meter,330.000429
Romania,2019,October,Million Cubic Meter,804.789542
Poland,2019,October,Million Cubic Meter,1691.447332
Netherlands,2019,October,Million Cubic Meter,3591
Luxembourg,2019,October,Million Cubic Meter,66.161139
Italy,2019,October,Million Cubic Meter,5035.654177
Hungary,2019,October,Million Cubic Meter,1662.094994
Greece,2019,October,Million Cubic Meter,425.749116
Germany,2019,October,Million Cubic Meter,7481.333333
France,2019,October,Million Cubic Meter,3058
Finland,2019,October,Million Cubic Meter,416.000143
Denmark,2019,October,Million Cubic Meter,768.429268
Czech Republic,2019,October,Million Cubic Meter,1442
Croatia,2019,October,Million Cubic Meter,511.551232
Bulgaria,2019,October,Million Cubic Meter,387.693893
Belgium,2019,October,Million Cubic Meter,1443.414429
Austria,2019,October,Million Cubic Meter,1855.171429
United Kingdom,2019,November,Million Cubic Meter,16592.940076
Sweden,2019,November,Million Cubic Meter,196
Spain,2019,November,Million Cubic Meter,4407
Slovenia,2019,November,Million Cubic Meter,174.135
Slovakia,2019,November,Million Cubic Meter,950
Serbia,2019,November,Million Cubic Meter,491.999619
Romania,2019,November,Million Cubic Meter,994.043942
Poland,2019,November,Million Cubic Meter,1975.157916
Netherlands,2019,November,Million Cubic Meter,4359
Luxembourg,2019,November,Million Cubic Meter,90.250827
Italy,2019,November,Million Cubic Meter,6512.130378
Hungary,2019,November,Million Cubic Meter,2030.345846
Greece,2019,November,Million Cubic Meter,401.381608
Germany,2019,November,Million Cubic Meter,10068.571429
France,2019,November,Million Cubic Meter,5075
Finland,2019,November,Million Cubic Meter,416.000429
Denmark,2019,November,Million Cubic Meter,920.966476
Czech Republic,2019,November,Million Cubic Meter,1820
Croatia,2019,November,Million Cubic Meter,571.762633
Bulgaria,2019,November,Million Cubic Meter,548.273398
Belgium,2019,November,Million Cubic Meter,1890.637939
Austria,2019,November,Million Cubic Meter,2157.787834
United Kingdom,2019,December,Million Cubic Meter,16959.955587
Sweden,2019,December,Million Cubic Meter,236
Spain,2019,December,Million Cubic Meter,4505
Slovenia,2019,December,Million Cubic Meter,206.83
Slovakia,2019,December,Million Cubic Meter,1262
Serbia,2019,December,Million Cubic Meter,659.999905
Romania,2019,December,Million Cubic Meter,1383.391443
Poland,2019,December,Million Cubic Meter,2315.23798
Netherlands,2019,December,Million Cubic Meter,4569
Luxembourg,2019,December,Million Cubic Meter,91.943259
Italy,2019,December,Million Cubic Meter,7836.727891
Hungary,2019,December,Million Cubic Meter,2678.657222
Greece,2019,December,Million Cubic Meter,465.485
Germany,2019,December,Million Cubic Meter,10950.380953
France,2019,December,Million Cubic Meter,5373
Finland,2019,December,Million Cubic Meter,452.000381
Denmark,2019,December,Million Cubic Meter,923.815143
Czech Republic,2019,December,Million Cubic Meter,2112
Croatia,2019,December,Million Cubic Meter,658.162592
Bulgaria,2019,December,Million Cubic Meter,709.325777
Belgium,2019,December,Million Cubic Meter,1945.514435
Austria,2019,December,Million Cubic Meter,2416.788381
